Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
3 Oct 2019 (Thu),-500,09:47,-98.60 (28493.20-28394.60),1362.00 (167.1-99 = -68.10) 28300PE,-2027.00 (144.95-246.3 = 101.35) 28700CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
4 Oct 2019 (Fri),-500,11:57,-848.95 (28621.75-27772.80),-5193.00 (355-614.65 = 259.65) 28400PE,3994.00 (431.55-231.85 = -199.70) 28800CE
7 Oct 2019 (Mon),-500,09:45,264.85 (27689.00-27953.85),2822.00 (317.05-175.95 = -141.10) 27500PE,-3676.00 (295.05-478.85 = 183.80) 27900CE
9 Oct 2019 (Wed),-500,10:15,602.05 (27958.30-28560.35),-2303.00 (199.65-314.8 = 115.15) 27800PE,1778.00 (170.55-81.65 = -88.90) 28200CE
10 Oct 2019 (Thu),-500,11:19,-383.60 (28396.40-28012.80),-2144.00 (83.4-190.6 = 107.20) 28200PE,1594.00 (96.75-17.05 = -79.70) 28600CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
11 Oct 2019 (Fri),-500,09:36,-355.55 (28485.00-28129.45),770.00 (327.05-288.55 = -38.50) 28300PE,-1318.00 (373.7-439.6 = 65.90) 28700CE
14 Oct 2019 (Mon),1152,14:30,410.00 (28115.85-28525.85),3910.00 (352.85-157.35 = -195.50) 27900PE,-2758.00 (381-518.9 = 137.90) 28300CE
15 Oct 2019 (Tue),-500,14:20,425.30 (28237.35-28662.65),2964.00 (241.4-93.2 = -148.20) 28000PE,-3776.00 (287.2-476 = 188.80) 28400CE
16 Oct 2019 (Wed),-500,13:18,-202.00 (28674.20-28472.20),-3188.00 (178-337.4 = 159.40) 28500PE,2283.00 (159.55-45.4 = -114.15) 28900CE
17 Oct 2019 (Thu),-500,13:33,410.10 (28597.90-29008.00),1345.00 (69.85-2.6 = -67.25) 28400PE,-1845.00 (63.3-155.55 = 92.25) 28800CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
18 Oct 2019 (Fri),-500,09:36,81.65 (29045.05-29126.70),726.00 (275-238.7 = -36.30) 28800PE,-1242.00 (308.5-370.6 = 62.10) 29200CE
22 Oct 2019 (Tue),1601,14:30,83.90 (29410.65-29494.55),1499.00 (235.95-161 = -74.95) 29200PE,102.00 (237.55-232.45 = -5.10) 29600CE
23 Oct 2019 (Wed),-500,11:28,220.75 (29349.10-29569.85),2581.00 (184.1-55.05 = -129.05) 29100PE,-3092.00 (138.65-293.25 = 154.60) 29500CE
24 Oct 2019 (Thu),-500,10:00,-525.40 (29589.00-29063.60),-1978.00 (57.05-155.95 = 98.90) 29400PE,802.00 (76.2-36.1 = -40.10) 29800CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
25 Oct 2019 (Fri),2302,14:30,93.80 (29160.80-29254.60),1776.00 (273.65-184.85 = -88.80) 29000PE,526.00 (255.9-229.6 = -26.30) 29400CE
29 Oct 2019 (Tue),-500,10:21,483.95 (29460.25-29944.20),755.00 (168.85-131.1 = -37.75) 29300PE,-1288.00 (143.3-207.7 = 64.40) 29700CE
30 Oct 2019 (Wed),-500,09:34,55.25 (29952.75-30008.00),-1623.00 (141.25-222.4 = 81.15) 29800PE,909.00 (126.9-81.45 = -45.45) 30200CE
31 Oct 2019 (Thu),1890,14:30,112.55 (30237.80-30350.35),1184.00 (60.7-1.5 = -59.20) 30000PE,706.00 (67.25-31.95 = -35.30) 30400CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
1 Nov 2019 (Fri),1109,14:30,24.90 (30197.95-30222.85),690.00 (284.35-249.85 = -34.50) 30000PE,419.00 (225.9-204.95 = -20.95) 30400CE
4 Nov 2019 (Mon),-500,11:44,-145.55 (30562.85-30417.30),-2086.00 (218.7-323 = 104.30) 30400PE,1134.00 (161.7-105 = -56.70) 30800CE
5 Nov 2019 (Tue),1343,14:30,-131.00 (30312.55-30181.55),16.00 (181-180.2 = -0.80) 30100PE,1327.00 (164.75-98.4 = -66.35) 30500CE
6 Nov 2019 (Wed),-500,11:39,529.10 (30105.30-30634.40),1390.00 (115.45-45.95 = -69.50) 29900PE,-2065.00 (102.45-205.7 = 103.25) 30300CE
7 Nov 2019 (Thu),-500,09:56,-32.25 (30736.60-30704.35),-1096.00 (41.7-96.5 = 54.80) 30500PE,510.00 (49.7-24.2 = -25.50) 30900CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
8 Nov 2019 (Fri),-500,12:12,229.80 (30664.00-30893.80),2516.00 (294.75-168.95 = -125.80) 30500PE,-3355.00 (181.7-349.45 = 167.75) 30900CE
11 Nov 2019 (Mon),1903,14:30,102.55 (30871.20-30973.75),1658.00 (253.95-171.05 = -82.90) 30700PE,245.00 (153.35-141.1 = -12.25) 31100CE
13 Nov 2019 (Wed),-500,09:49,-353.85 (31125.95-30772.10),-998.00 (139.95-189.85 = 49.90) 30900PE,489.00 (121.15-96.7 = -24.45) 31300CE
14 Nov 2019 (Thu),-500,09:42,130.75 (30459.15-30589.90),-930.00 (70.9-117.4 = 46.50) 30300PE,311.00 (34.9-19.35 = -15.55) 30700CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
15 Nov 2019 (Fri),-500,10:16,110.65 (31014.05-31124.70),875.00 (243.75-200 = -43.75) 30800PE,-1411.00 (215.05-285.6 = 70.55) 31200CE
18 Nov 2019 (Mon),972,14:30,-105.15 (31093.55-30988.40),83.00 (217.55-213.4 = -4.15) 30900PE,889.00 (177.15-132.7 = -44.45) 31300CE
19 Nov 2019 (Tue),1181,14:30,169.75 (31062.05-31231.80),1953.00 (198.25-100.6 = -97.65) 30900PE,-772.00 (134.65-173.25 = 38.60) 31300CE
20 Nov 2019 (Wed),1413,14:30,44.80 (31236.95-31281.75),889.00 (116.4-71.95 = -44.45) 31000PE,524.00 (110.9-84.7 = -26.20) 31400CE
21 Nov 2019 (Thu),1387,14:30,87.80 (31317.85-31405.65),912.00 (48-2.4 = -45.60) 31100PE,475.00 (41.2-17.45 = -23.75) 31500CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
22 Nov 2019 (Fri),745,14:30,-155.35 (31303.95-31148.60),-612.00 (196.3-226.9 = 30.60) 31100PE,1357.00 (177.1-109.25 = -67.85) 31500CE
25 Nov 2019 (Mon),-500,13:35,361.90 (31176.75-31538.65),1798.00 (147.1-57.2 = -89.90) 31000PE,-2485.00 (115.7-239.95 = 124.25) 31400CE
26 Nov 2019 (Tue),634,14:30,-74.40 (31734.85-31660.45),-393.00 (107.45-127.1 = 19.65) 31500PE,1027.00 (116.55-65.2 = -51.35) 31900CE
27 Nov 2019 (Wed),988,14:30,6.85 (31842.45-31849.30),719.00 (83.65-47.7 = -35.95) 31600PE,269.00 (79-65.55 = -13.45) 32000CE
28 Nov 2019 (Thu),-500,11:46,106.35 (31943.20-32049.55),442.00 (27.75-5.65 = -22.10) 31700PE,-997.00 (27.95-77.8 = 49.85) 32100CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
29 Nov 2019 (Fri),383,14:30,-188.60 (32013.65-31825.05),-894.00 (186.85-231.55 = 44.70) 31800PE,1277.00 (165.95-102.1 = -63.85) 32200CE
2 Dec 2019 (Mon),856,14:30,-68.85 (31890.90-31822.05),344.00 (165.95-148.75 = -17.20) 31700PE,512.00 (128.45-102.85 = -25.60) 32100CE
3 Dec 2019 (Tue),-500,12:08,-272.85 (31795.65-31522.80),-1752.00 (110.85-198.45 = 87.60) 31600PE,1215.00 (113.75-53 = -60.75) 32000CE
4 Dec 2019 (Wed),-500,09:44,194.65 (31483.45-31678.10),809.00 (90.05-49.6 = -40.45) 31300PE,-1548.00 (70.05-147.45 = 77.40) 31700CE
5 Dec 2019 (Thu),-500,11:46,-230.90 (32078.85-31847.95),-1940.00 (60-157 = 97.00) 31900PE,502.00 (35.05-9.95 = -25.10) 32300CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
6 Dec 2019 (Fri),-500,11:30,-503.85 (31815.20-31311.35),-1406.00 (177.1-247.4 = 70.30) 31600PE,902.00 (167.35-122.25 = -45.10) 32000CE
9 Dec 2019 (Mon),-500,09:41,136.10 (31166.50-31302.60),1020.00 (153-102 = -51.00) 31000PE,-1969.00 (154.1-252.55 = 98.45) 31400CE
10 Dec 2019 (Tue),945,14:30,-89.45 (31313.40-31223.95),91.00 (126.6-122.05 = -4.55) 31100PE,854.00 (132.7-90 = -42.70) 31500CE
11 Dec 2019 (Wed),920,14:30,-141.85 (31185.10-31043.25),-277.00 (92.35-106.2 = 13.85) 31000PE,1197.00 (91.95-32.1 = -59.85) 31400CE
12 Dec 2019 (Thu),802,14:30,180.50 (31391.75-31572.25),628.00 (32.25-0.85 = -31.40) 31200PE,174.00 (28.4-19.7 = -8.70) 31600CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
13 Dec 2019 (Fri),-500,12:14,173.25 (31841.40-32014.65),477.00 (130.4-106.55 = -23.85) 31600PE,-988.00 (189.75-239.15 = 49.40) 32000CE
16 Dec 2019 (Mon),861,14:30,-74.60 (32075.95-32001.35),152.00 (166.45-158.85 = -7.60) 31900PE,709.00 (136.5-101.05 = -35.45) 32300CE
17 Dec 2019 (Tue),572,14:30,35.95 (32103.10-32139.05),595.00 (101.35-71.6 = -29.75) 31900PE,-23.00 (107.3-108.45 = 1.15) 32300CE
18 Dec 2019 (Wed),925,14:30,28.70 (32161.20-32189.90),712.00 (86.9-51.3 = -35.60) 32000PE,213.00 (58.7-48.05 = -10.65) 32400CE
19 Dec 2019 (Thu),796,14:30,85.80 (32173.45-32259.25),612.00 (32.35-1.75 = -30.60) 32000PE,184.00 (14.5-5.3 = -9.20) 32400CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
20 Dec 2019 (Fri),880,14:30,82.55 (32351.05-32433.60),969.00 (179.85-131.4 = -48.45) 32200PE,-89.00 (114.05-118.5 = 4.45) 32600CE
23 Dec 2019 (Mon),478,14:30,-147.95 (32390.70-32242.75),-311.00 (114.4-129.95 = 15.55) 32200PE,789.00 (77.75-38.3 = -39.45) 32600CE
24 Dec 2019 (Tue),613,14:30,-44.65 (32373.85-32329.20),300.00 (59.25-44.25 = -15.00) 32200PE,313.00 (37.7-22.05 = -15.65) 32600CE
26 Dec 2019 (Thu),-122,14:30,-224.15 (32249.70-32025.55),-426.00 (7.75-29.05 = 21.30) 32000PE,304.00 (15.95-0.75 = -15.20) 32400CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
27 Dec 2019 (Fri),-500,10:41,185.35 (32166.85-32352.20),890.00 (116.6-72.1 = -44.50) 32000PE,-1453.00 (102.35-175 = 72.65) 32400CE
30 Dec 2019 (Mon),-500,12:19,-172.65 (32534.70-32362.05),-1541.00 (77.65-154.7 = 77.05) 32300PE,970.00 (101.45-52.95 = -48.50) 32700CE
31 Dec 2019 (Tue),193,14:30,-62.85 (32268.75-32205.90),62.00 (79.9-76.8 = -3.10) 32100PE,131.00 (72.55-66 = -6.55) 32500CE
1 Jan 2020 (Wed),-70,14:30,-248.80 (32336.65-32087.85),-1053.00 (32.3-84.95 = 52.65) 32100PE,983.00 (63.45-14.3 = -49.15) 32500CE
2 Jan 2020 (Thu),365,14:30,147.35 (32231.95-32379.30),243.00 (12.6-0.45 = -12.15) 32000PE,122.00 (21.65-15.55 = -6.10) 32400CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
3 Jan 2020 (Fri),-500,09:46,-247.50 (32274.35-32026.85),-1177.00 (154.85-213.7 = 58.85) 32100PE,502.00 (134-108.9 = -25.10) 32500CE
6 Jan 2020 (Mon),-500,09:31,-338.55 (31583.25-31244.70),-1000.00 (222.1-272.1 = 50.00) 31400PE,395.00 (196.4-176.65 = -19.75) 31800CE
7 Jan 2020 (Tue),-500,10:57,-438.60 (31770.60-31332.00),-2326.00 (126.5-242.8 = 116.30) 31600PE,1202.00 (110.05-49.95 = -60.10) 32000CE
8 Jan 2020 (Wed),-500,09:45,182.10 (31067.15-31249.25),2025.00 (204.45-103.2 = -101.25) 30900PE,-3045.00 (124.8-277.05 = 152.25) 31300CE
9 Jan 2020 (Thu),-500,12:16,288.05 (31812.00-32100.05),695.00 (38.15-3.4 = -34.75) 31600PE,-1222.00 (35.45-96.55 = 61.10) 32000CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
10 Jan 2020 (Fri),542,14:30,-134.70 (32143.45-32008.75),-985.00 (198.4-247.65 = 49.25) 31900PE,1527.00 (223.3-146.95 = -76.35) 32300CE
13 Jan 2020 (Mon),499,14:30,-121.40 (32277.05-32155.65),-410.00 (177.5-198 = 20.50) 32100PE,909.00 (159.8-114.35 = -45.45) 32500CE
14 Jan 2020 (Tue),1203,14:30,-17.20 (32075.45-32058.25),873.00 (150.9-107.25 = -43.65) 31900PE,330.00 (129.75-113.25 = -16.50) 32300CE
15 Jan 2020 (Wed),949,14:30,-34.95 (31835.20-31800.25),248.00 (60.3-47.9 = -12.40) 31600PE,701.00 (103.5-68.45 = -35.05) 32000CE
16 Jan 2020 (Thu),-500,11:01,-19.65 (31907.50-31887.85),-1050.00 (14.5-67 = 52.50) 31700PE,407.00 (24-3.65 = -20.35) 32100CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
17 Jan 2020 (Fri),751,14:30,23.40 (31568.95-31592.35),811.00 (189.55-149 = -40.55) 31400PE,-60.00 (202.25-205.25 = 3.00) 31800CE
20 Jan 2020 (Mon),-500,10:35,-541.60 (31625.10-31083.50),-1990.00 (139-238.5 = 99.50) 31400PE,1452.00 (177.2-104.6 = -72.60) 31800CE
21 Jan 2020 (Tue),1337,14:30,-109.50 (31038.70-30929.20),115.00 (130.75-125 = -5.75) 30800PE,1222.00 (169.1-108 = -61.10) 31200CE
22 Jan 2020 (Wed),-500,14:08,-363.00 (31011.10-30648.10),-2628.00 (68.25-199.65 = 131.40) 30800PE,1973.00 (119.25-20.6 = -98.65) 31200CE
23 Jan 2020 (Thu),1082,14:30,148.50 (30873.60-31022.10),942.00 (48.05-0.95 = -47.10) 30700PE,140.00 (15.75-8.75 = -7.00) 31100CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
24 Jan 2020 (Fri),-500,09:58,328.35 (30999.45-31327.80),903.00 (175.5-130.35 = -45.15) 30800PE,-1443.00 (196.9-269.05 = 72.15) 31200CE
27 Jan 2020 (Mon),-500,10:05,-70.75 (31024.10-30953.35),885.00 (160.25-116 = -44.25) 30800PE,-1417.00 (164.15-235 = 70.85) 31200CE
28 Jan 2020 (Tue),1152,14:30,-75.85 (30931.40-30855.55),48.00 (133.55-131.15 = -2.40) 30700PE,1104.00 (159.85-104.65 = -55.20) 31100CE
29 Jan 2020 (Wed),900,14:30,53.35 (30922.85-30976.20),860.00 (77.4-34.4 = -43.00) 30700PE,40.00 (104.95-102.95 = -2.00) 31100CE
30 Jan 2020 (Thu),626,14:30,-156.10 (30711.80-30555.70),-92.00 (21.05-25.65 = 4.60) 30500PE,718.00 (36.85-0.95 = -35.90) 30900CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
31 Jan 2020 (Fri),-500,09:50,30.65 (30955.25-30985.90),-1252.00 (398.95-461.55 = 62.60) 30800PE,724.00 (406.2-370 = -36.20) 31200CE
1 Feb 2020 (Sat),-500,10:12,-376.05 (30679.25-30303.20),979.00 (414.15-365.2 = -48.95) 30500PE,-1511.00 (407.65-483.2 = 75.55) 30900CE
3 Feb 2020 (Mon),2513,14:30,115.00 (29864.55-29979.55),1988.00 (254.95-155.55 = -99.40) 29700PE,525.00 (199.85-173.6 = -26.25) 30100CE
4 Feb 2020 (Tue),-500,10:57,389.75 (30299.90-30689.65),1675.00 (126.9-43.15 = -83.75) 30100PE,-2814.00 (97.3-238 = 140.70) 30500CE
5 Feb 2020 (Wed),-500,14:29,240.65 (30790.00-31030.65),1245.00 (84.75-22.5 = -62.25) 30600PE,-1858.00 (72-164.9 = 92.90) 31000CE
6 Feb 2020 (Thu),-500,12:35,304.70 (31040.75-31345.45),726.00 (38.25-1.95 = -36.30) 30800PE,-1257.00 (65.4-128.25 = 62.85) 31200CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
7 Feb 2020 (Fri),1122,14:30,8.40 (31177.25-31185.65),998.00 (224.9-175 = -49.90) 31000PE,124.00 (173.55-167.35 = -6.20) 31400CE
10 Feb 2020 (Mon),616,14:30,-107.85 (31085.00-30977.15),42.00 (166.7-164.6 = -2.10) 30900PE,574.00 (120.2-91.5 = -28.70) 31300CE
11 Feb 2020 (Tue),673,14:30,-62.70 (31408.10-31345.40),191.00 (106.9-97.35 = -9.55) 31200PE,482.00 (91.6-67.5 = -24.10) 31600CE
12 Feb 2020 (Wed),793,14:30,-13.10 (31532.00-31518.90),475.00 (53.1-29.35 = -23.75) 31300PE,318.00 (62.55-46.65 = -15.90) 31700CE
13 Feb 2020 (Thu),328,14:30,-194.40 (31419.00-31224.60),-110.00 (13.2-18.7 = 5.50) 31200PE,438.00 (22.3-0.4 = -21.90) 31600CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
14 Feb 2020 (Fri),-500,10:51,-511.05 (31377.15-30866.10),-2660.00 (141.85-274.85 = 133.00) 31200PE,1403.00 (150.3-80.15 = -70.15) 31600CE
17 Feb 2020 (Mon),-500,09:39,-21.40 (30715.75-30694.35),1270.00 (162.95-99.45 = -63.50) 30500PE,-2084.00 (159.3-263.5 = 104.20) 30900CE
18 Feb 2020 (Tue),595,14:30,-96.25 (30500.30-30404.05),-433.00 (103.35-125 = 21.65) 30300PE,1028.00 (116.95-65.55 = -51.40) 30700CE
19 Feb 2020 (Wed),-500,09:33,-98.20 (30882.95-30784.75),-1320.00 (59.3-125.3 = 66.00) 30700PE,456.00 (65.35-42.55 = -22.80) 31100CE
20 Feb 2020 (Thu),827,14:30,121.40 (30913.65-31035.05),508.00 (25.95-0.55 = -25.40) 30700PE,319.00 (21.9-5.95 = -15.95) 31100CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
24 Feb 2020 (Mon),249,14:30,7.85 (30527.20-30535.05),65.00 (153.25-150 = -3.25) 30300PE,184.00 (147.75-138.55 = -9.20) 30700CE
25 Feb 2020 (Tue),1210,14:30,-73.45 (30477.40-30403.95),160.00 (155.3-147.3 = -8.00) 30300PE,1050.00 (146.2-93.7 = -52.50) 30700CE
26 Feb 2020 (Wed),-500,13:46,-20.00 (30308.75-30288.75),1076.00 (92-38.2 = -53.80) 30100PE,-1582.00 (91.8-170.9 = 79.10) 30500CE
27 Feb 2020 (Thu),1228,14:30,-78.25 (30145.15-30066.90),319.00 (21.05-5.1 = -15.95) 29900PE,909.00 (46.8-1.35 = -45.45) 30300CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
28 Feb 2020 (Fri),-500,12:17,-155.90 (29460.95-29305.05),-3598.00 (330-509.9 = 179.90) 29300PE,2822.00 (336.6-195.5 = -141.10) 29700CE
2 Mar 2020 (Mon),1566,14:30,49.80 (29409.05-29458.85),1076.00 (273.8-220 = -53.80) 29200PE,490.00 (266.95-242.45 = -24.50) 29600CE
3 Mar 2020 (Tue),-500,09:35,-107.70 (29221.85-29114.15),-1784.00 (192.05-281.25 = 89.20) 29000PE,1030.00 (229.3-177.8 = -51.50) 29400CE
4 Mar 2020 (Wed),-500,12:57,-650.25 (29020.40-28370.15),-3954.00 (183.3-381 = 197.70) 28800PE,3049.00 (192.25-39.8 = -152.45) 29200CE
5 Mar 2020 (Thu),-500,10:49,174.15 (28658.10-28832.25),1138.00 (80.2-23.3 = -56.90) 28500PE,-2081.00 (55.65-159.7 = 104.05) 28900CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
6 Mar 2020 (Fri),2909,14:30,167.75 (27612.85-27780.60),2378.00 (465.25-346.35 = -118.90) 27400PE,531.00 (486.55-460 = -26.55) 27800CE
9 Mar 2020 (Mon),-500,12:46,-630.75 (26910.30-26279.55),-3479.00 (337-510.95 = 173.95) 26700PE,2899.00 (384.85-239.9 = -144.95) 27100CE
11 Mar 2020 (Wed),-500,09:40,-125.35 (26759.00-26633.65),-2001.00 (338.95-439 = 100.05) 26600PE,1480.00 (270.1-196.1 = -74.00) 27000CE
12 Mar 2020 (Thu),-500,10:47,-923.90 (25080.25-24156.35),-3460.00 (152.85-325.85 = 173.00) 24900PE,2937.00 (182.8-35.95 = -146.85) 25300CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
16 Mar 2020 (Mon),-500,09:33,-203.10 (23568.75-23365.65),24.00 (951.8-950.6 = -1.20) 23400PE,-725.00 (775.75-812 = 36.25) 23800CE
17 Mar 2020 (Tue),-500,09:36,10.80 (22671.65-22682.45),3600.00 (979-799 = -180.00) 22500PE,-4205.00 (900-1110.25 = 210.25) 22900CE
18 Mar 2020 (Wed),-500,11:03,-1353.10 (22011.40-20658.30),-6580.00 (614.65-943.65 = 329.00) 21800PE,5623.00 (465.35-184.2 = -281.15) 22200CE
19 Mar 2020 (Thu),-500,09:31,1576.60 (19101.45-20678.05),-7178.00 (141.1-500 = 358.90) 18900PE,1200.00 (420-360 = -60.00) 19300CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
20 Mar 2020 (Fri),-500,09:32,630.35 (19614.05-20244.40),-2783.00 (1097.65-1236.8 = 139.15) 19400PE,2246.00 (1134.3-1022 = -112.30) 19800CE
23 Mar 2020 (Mon),-500,09:46,-1430.70 (18565.75-17135.05),-5097.00 (1028.95-1283.8 = 254.85) 18400PE,4448.00 (897.4-675 = -222.40) 18800CE
24 Mar 2020 (Tue),-500,09:35,393.35 (17166.80-17560.15),-6056.00 (1047.15-1349.95 = 302.80) 17000PE,5173.00 (1012.3-753.65 = -258.65) 17400CE
25 Mar 2020 (Wed),-500,13:04,1476.80 (16970.00-18446.80),13448.00 (904.35-231.95 = -672.40) 16800PE,-14206.00 (789.65-1499.95 = 710.30) 17200CE
26 Mar 2020 (Thu),-500,10:18,401.70 (18950.45-19352.15),7585.00 (485.2-105.95 = -379.25) 18800PE,-8585.00 (366.65-795.9 = 429.25) 19200CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
27 Mar 2020 (Fri),-500,09:32,-461.10 (21040.10-20579.00),1723.00 (1309-1222.85 = -86.15) 20800PE,-2566.00 (1026.8-1155.1 = 128.30) 21200CE
30 Mar 2020 (Mon),-500,09:33,-153.70 (19181.80-19028.10),1348.00 (1034.6-967.2 = -67.40) 19000PE,-1922.00 (899.15-995.25 = 96.10) 19400CE
31 Mar 2020 (Tue),5635,14:30,345.65 (18942.25-19287.90),6011.00 (488.9-188.35 = -300.55) 18700PE,-376.00 (461.15-479.95 = 18.80) 19100CE
1 Apr 2020 (Wed),-500,09:41,-677.15 (18803.20-18126.05),-1937.00 (168.8-265.65 = 96.85) 18600PE,1122.00 (116.15-60.05 = -56.10) 19000CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
